id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
25455082,192131357,Karina,Steglitz - Zehlendorf,Zehlendorf  Nord,52.451065,13.252733,Private room,22.000000,3,14,1,271
25574813,192891731,Pei Wen,Neukölln,Neuköllner Mitte/Zentrum,52.481270,13.434083,Private room,22.000000,1,2,1,0
26174016,169450739,Elena,Tempelhof - Schöneberg,Tempelhof,52.467091,13.384412,Private room,22.000000,2,13,2,178
26273577,136909044,Ella,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.478664,13.331004,Private room,22.000000,90,0,2,296
26734487,26191276,Elena,Neukölln,Rixdorf,52.480789,13.438436,Private room,22.000000,3,4,4,0
26791604,201473485,Mona,Neukölln,Schillerpromenade,52.476147,13.423752,Private room,22.000000,3,6,1,0
27019587,169857148,Enzo,Lichtenberg,Neu Lichtenberg,52.508583,13.499617,Private room,22.000000,5,3,1,33
27415212,206602411,Charlotte,Mitte,Moabit West,52.526707,13.334202,Private room,22.000000,2,0,1,9
27644623,58238664,Tobias,Lichtenberg,Alt-Lichtenberg,52.514084,13.481577,Private room,22.000000,4,1,1,0
27690437,209018173,Silvia,Tempelhof - Schöneberg,Tempelhof,52.482731,13.384192,Private room,22.000000,14,3,1,65
27773018,149284976,Justus,Neukölln,Köllnische Heide,52.470036,13.450220,Private room,22.000000,3,0,2,2
28098625,141994959,Gabrielle,Neukölln,Neuköllner Mitte/Zentrum,52.477520,13.437016,Private room,22.000000,7,2,2,0
28170112,157654611,Alex,Tempelhof - Schöneberg,Mariendorf,52.449482,13.383228,Private room,22.000000,3,2,1,79
28181830,212852826,Jürgen,Mitte,Parkviertel,52.563133,13.340417,Private room,22.000000,1,8,1,30
28334879,213952665,Benedikt,Pankow,Prenzlauer Berg Nordwest,52.550247,13.408604,Entire home/apt,22.000000,2,2,1,105
28455588,1177232,Léa,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.519154,13.458612,Private room,22.000000,5,1,2,57
28516470,215224028,Niall,Mitte,Wedding Zentrum,52.552650,13.372931,Private room,22.000000,2,0,1,43
28630727,207719263,Monika,Spandau,Wilhelmstadt,52.521370,13.203426,Private room,22.000000,2,4,1,120
28769450,217005259,Luena,Mitte,Wedding Zentrum,52.539001,13.349419,Private room,22.000000,28,0,1,84
29108523,64736404,Greta,Neukölln,Schillerpromenade,52.469398,13.428870,Private room,22.000000,4,4,1,5
29524680,112393821,Friederike,Neukölln,Rixdorf,52.485764,13.446593,Private room,22.000000,3,1,1,4
29583461,70277206,Ale,Tempelhof - Schöneberg,Tempelhof,52.463242,13.419392,Private room,22.000000,1,1,1,264
29621279,72242359,Linda,Tempelhof - Schöneberg,Friedenau,52.477303,13.347025,Private room,22.000000,2,1,1,9
29759465,162631209,Mathias,Mitte,Brunnenstr. Süd,52.537086,13.397676,Shared room,22.000000,1,0,5,20
1079551,5937787,Karsten,Pankow,Pankow Süd,52.573635,13.424366,Entire home/apt,23.000000,180,3,1,0
2099835,1156521,Denis,Neukölln,Reuterstraße,52.481663,13.438306,Private room,23.000000,3,85,2,0
3815815,19620778,Eliaser,Tempelhof - Schöneberg,Schöneberg-Süd,52.487907,13.357541,Private room,23.000000,1,2,1,0
